"IATA","Airport Name","City Name","Country Name","WAC State","WAC Sub Country","WAC Country","Longitude","Latitude","Eff From","Eff To"
"AAH","Aachen-Maastricht Airport","Aachen-Maastricht","Germany","","","429","006.08.00E","50.45.00N","01Jan1996","30Aug1996"
"AAH","Aachen-Maastricht","Aachen-Maastricht","Germany","","","429","006.08.00E","50.45.00N","31Aug1996","31Dec1996"
"AAH","Aachen","Aachen","Germany","","","429","006.11.11E","50.49.23N","01Jan1997","31Dec2038"
"AGB","Munich Augsburg Apt","Munich","Germany","","","429","010.55.54E","48.25.31N","01Jan1996","30Jun2005"
"AGB","Munich Augsburg Apt","Munich","Germany","","","429","010.55.54E","48.25.31N","01Dec2006","31Mar2007"
"AGB","Munich Augsburg Apt","Munich","Germany","","","429","010.55.54E","48.25.31N","01Mar2010","27Jun2015"
"AGB","Munich Airport","Munich","Germany","","","429","010.55.54E","48.25.31N","28Jun2015","18Jul2015"
"AGB","Munich Augsburg Airport","Munich","Germany","","","429","010.55.54E","48.25.31N","19Jul2015","31Dec2038"
"AGE","Wangerooge","Wangerooge","Germany","","","429","007.54.57E","53.47.14N","01Jan1997","31Dec2038"
"AOC","Altenburg","Altenburg","Germany","","","429","012.30.23E","50.58.55N","01Jan2001","31Oct2002"
"AOC","Altenburg","Altenburg","Germany","","","429","012.30.23E","50.58.55N","01Mar2003","31Dec2038"
"BER","Berlin Brandenburg Apt","Berlin (DE)","Germany","","","429","013.30.12E","52.22.00N","01Oct2011","01Dec2018"
"BER","Berlin Brandenburg Apt","Berlin (DE)","Germany","","","429","013.30.12E","52.22.00N","02Dec2018","23Mar2019"
"BER","Berlin Brandenburg Apt","Berlin (DE)","Germany","","","429","013.30.12E","52.22.00N","24Mar2019","27Apr2019"
"BER","Berlin Brandenburg Apt","Berlin (DE)","Germany","","","429","013.30.12E","52.22.00N","28Apr2019","03Oct2020"
"BER","Berlin Brandenburg Apt","Berlin (DE)","Germany","","","429","013.30.12E","52.22.00N","04Oct2020","17Oct2020"
"BER","Berlin Brandenburg Apt","Berlin (DE)","Germany","","","429","013.30.12E","52.22.00N","18Oct2020","02Apr2022"
"BER","Berlin Brandenburg Apt","Berlin (DE) 00","Germany","","","429","013.30.12E","52.22.00N","03Apr2022","21May2022"
"BER","Berlin Brandenburg Apt","Berlin (DE)","Germany","","","429","013.30.12E","52.22.00N","22May2022","23May2022"
"BER","Berlin Brandenburg Apt","Berlin (DE)","Germany","","","429","013.30.12E","52.22.00N","24May2022","18Jun2022"
"BER","Berlin Brandenburg Apt","Berlin (DE) 00","Germany","","","429","013.30.12E","52.22.00N","19Jun2022","20Aug2022"
"BER","Berlin Brandenburg Apt","Berlin (DE)","Germany","","","429","013.30.12E","52.22.00N","21Aug2022","22Aug2022"
"BER","Berlin Brandenburg Apt","Berlin (DE)","Germany","","","429","013.30.12E","52.22.00N","23Aug2022","24Aug2022"
"BER","Berlin Brandenburg Apt","Berlin (DE)","Germany","","","429","013.30.12E","52.22.00N","25Aug2022","07Jan2023"
"BER","Berlin Brandenburg Apt","Berlin (DE)","Germany","","","429","013.30.12E","52.22.00N","08Jan2023","31Dec2038"
"BFE","Bielefeld","Bielefeld","Germany","","","429","008.31.00E","52.01.00N","01Jan1996","31Aug2004"
"BFE","Bielefeld","Bielefeld","Germany","","","429","008.32.41E","51.57.53N","01Aug2006","31Dec2038"
